パーフェクト・ソルジャー（ポー金属）|<グレムリン>	クッ…天使軍め…これほどの実力とは…ぐふっ
ゴールド・ラッシュ！（ゲル金属）|<作戦オペレーター>	イミテーションゴールドは全て破壊されたようです。任務は成功です
カクタス村への道（ガル金属）|<作戦オペレーター>	カクタス村近くのトンネル前まで到着しました。任務は成功です
はた迷惑な置き土産（デグ金属）|<作戦オペレーター>	あなたがこのデゴで成し得た功績は、ゆるぎないものになったことでしょう
怒涛の勢い（ベラ金属）|<作戦オペレーター>	これで悪魔ロボも、ベネブがどういうところか学んだでしょう
悪意の形（ダウ金属）|<ダスディアン通信兵>	…影武者だったようですね…悪魔軍掃討作戦は成功しました。お疲れ様でした
魅入られし者の再臨（ガシ金属）|<作戦オペレーター>	あなたの獅子奮迅の活躍はガスターの天使軍に広く知れ渡ったことでしょう
魔狼の狡猾（ネイチャーフォーム）|<天使軍ロボ>	ふう、あんたのおかげで命拾いしたぜ、ありがとよ
逃亡者を追跡せよ（アローンフォーム）|<作戦オペレーター>	情報は守られ、復讐は果たされました。任務は成功です
砂漠の戦士たち（ドライフォーム）|<作戦オペレーター>	時にガルドの気候は、備えのないロボには危険なものになります
ダブル・リッパーズ（フリーズフォーム）|<作戦オペレーター>	あのリッパーを倒したことで、この星での悪魔ロボの陰謀を一つ挫くことができました
ベネブの大地（ヒートフォーム）（挑戦）|<作戦オペレーター>	この隙をついて、砲台を全て破壊してください。破壊すれば基地は無力化します
愚者たちの末路（ジャンクフォーム）|<ダークサバス>	楽しみに待っているぞ。ククク…
アドヴェント・エンパイア（ダスクフォーム）|<大佐>	このままでは負けるナリ！撤退するナリー！
