ポルド遺跡|<バムツリー>	ワシの負けだー！
カンビ遺跡|<メガホネボン>	スケるトーン！！！
フルビ遺跡|<タコンボイ>	…もうあかんわ！
インディゴ遺跡|<フレースベルグ>	よかろう、貴様を戦士として認めよう
ヘブンズタワー（アグルニーテ）|<アグルニーテ>	アテクシが教えることはもう何もないわ…でも、いつでも遊びにくるといいザマスわ
ヘブンズタワー（ガンダール）|<ガンダール>	コノ者タチガ悪魔軍デハナイ事ヲ……願ウ
ヘブンズタワー（センチネル）|<センチネル>	げーと使用ニ耐エウルろぼデアル、ト判断スル。オメデトウ
ピアトロ遺跡|<ガラモ>	ゲロ？
キシトンAルート（表）|グギャアアアァァァアアァァ！！…ソノ程度ノ勇気デハ、次ニ進ム事叶ワヌゾ
キシトンAルート（裏）|<ギガドラニクス>	貴様ナラ…アノオ方マデ辿リ着ケルヤモシレヌナ…
キシトンBルート（表）|<クフィンケス>	ちょっとアナタ…激しすぎ！でも…、楽しかったわよぉ～
キシトンBルート（裏）|<クフィンケス>	やっぱりアナタ…激しすぎ！でも…すっごいよかったわよぉ～
キシトンCルート（表）|<アヌビザイン>	さあ行くが良い！アヌビザインが認めしガルドの勇者よ！
キシトンCルート（裏）|<アヌビザインカース>	ぐごゲッ！？このアヌビザインが負けた…だと？
ジオ遺跡|<プロックファントム>	さらばだ！！！
ケーム温泉（表）|<ゴッツォ>	む、無念…
ケーム温泉（裏）|<リトルダラビリー>	またのお越しを
リンジャーニ遺跡（表）|<ギガロニクス>	汝がこの地に相応しい者か我が試してやろう
リンジャーニ遺跡（裏）|<ギガロニクス>	この地に秘められし真の試練を受けるがよい
ケイオム遺跡|<ダークサバス>	ダスディロームを倒すとはな。さすがといったところか
ティタン空洞★1|<シェイドタコッパー>	(ｺﾞﾁｿｳ　ﾔｯﾃｷﾀｳｺﾞｹﾅｸｼﾃ　ﾀﾍﾞﾙ)
ティタン空洞★2|<ボックル弟>	きっと族長も喜んでくれるかぁ
ティタン沼地|<ギガドラゴン>	我ですら…変えること……叶わなかった…グハぁ！
スーペン山（カムーリン）|<カムーリン>	褒美の箱を一つ選ぶがいい。いずれかに我輩の力の証が入っておるぞ
コルタ山（ワンダータラ）|<ワンダータラ>	こんなに強いなんて聞いてねぇぞコラー
パンジャ山（シュテンドー）|<シュテンドー>	褒美をやろう！好きなのを持って行けい！
インドラ洞窟|<デルゴリアン>	わしの…わしの宝は…デールローラーやったんや！
インドラタワー（下層）|<ダークサバス>	（よく聞け。……君たちに賭けてみる。頂上まで来い、ぬかるなよ？）
インドラタワー（上層）|<皇帝フェアライト>	な、なぜだ……、なぜワシが……？う、宇宙は永遠に我のものじゃぁ……！
皇帝の庭|<ツァールコピー>	排除…ピピッ…失敗…ザザーでーたノ暗…ガー…圧ヲ…
ブターク遺跡 B1F|<メガフィジカルブターク>	ブブ！？
ブターク遺跡 B2F|<メガビームブターク>	！？
ブターク遺跡 B3F|<メガエレトリックブターク>	ブギャ～♪
ブターク遺跡 B4F（挑戦）|<メガフレイムブターク>	ここまでくるたぁ、いい度胸してるブー！
ブターク遺跡 B5F（CC）|<アクイーア・エアーズ>	流石だ…。
ブターク遺跡 B5F（キバ）|<カオスカイザー>	チッ！！
ブターク遺跡 B6F|<タイクーン・ブターク>	し、信じられんブー！！
ブターク遺跡★ B1F|<ギガフィジカルブターク>	ブヒーン！！
ブターク遺跡★ B2F|<ギガビームブターク>	わたしが負けるなんてブー！
ブターク遺跡★ B3F|<ギガエレトリックブターク>	ブギャ～♪
ブターク遺跡★ B4F（挑戦）|<ギガフレイムブターク>	ここまでくるたぁ、いい度胸してるブー！
ブターク遺跡★ B5F（CC）|<ピュリアクイーア・エアーズ>	流石だ…。
ブターク遺跡★ B5F（キバ）|<ブラック・カオスカイザー>	コレデカッタトオモウナヨ！！
ブターク遺跡★ B6F|<テラタイクーン・ブターク>	し、信じられんブー！！
